43.0	 51.0	 30.0	 39.0	 61.0	 92.0	 45.0
63.0	 64.0	 51.0	 54.0	 63.0	 73.0	 47.0
71.0	 70.0	 68.0	 69.0	 76.0	 86.0	 48.0
61.0	 63.0	 45.0	 47.0	 54.0	 84.0	 35.0
81.0	 78.0	 56.0	 66.0	 71.0	 83.0	 47.0
43.0	 55.0	 49.0	 44.0	 54.0	 49.0	 34.0
58.0	 67.0	 42.0	 56.0	 66.0	 68.0	 35.0
71.0	 75.0	 50.0	 55.0	 70.0	 66.0	 41.0
72.0	 82.0	 72.0	 67.0	 71.0	 83.0	 31.0
67.0	 61.0	 45.0	 47.0	 62.0	 80.0	 41.0
64.0	 53.0	 53.0	 58.0	 58.0	 67.0	 34.0
67.0	 60.0	 47.0	 39.0	 59.0	 74.0	 41.0
69.0	 62.0	 57.0	 42.0	 55.0	 63.0	 25.0
68.0	 83.0	 83.0	 45.0	 59.0	 77.0	 35.0
77.0	 77.0	 54.0	 72.0	 79.0	 77.0	 46.0
81.0	 90.0	 50.0	 72.0	 60.0	 54.0	 36.0
74.0	 85.0	 64.0	 69.0	 79.0	 79.0	 63.0
65.0	 60.0	 65.0	 75.0	 55.0	 80.0	 60.0
65.0	 70.0	 46.0	 57.0	 75.0	 85.0	 46.0
50.0	 58.0	 68.0	 54.0	 64.0	 78.0	 52.0
